"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","TypeOfIris","size"
"115",5.8,2.8,5.1,2.4,"virginica","Small"
"116",6.4,3.2,5.3,2.3,"virginica","Medium"
"117",6.5,3,5.5,1.8,"virginica","Large"
"118",7.7,3.8,6.7,2.2,"virginica","Small"
"119",7.7,2.6,6.9,2.3,"virginica","Medium"
"120",6,2.2,5,1.5,"virginica","Large"
"121",6.9,3.2,5.7,2.3,"virginica","Small"
"122",5.6,2.8,4.9,2,"virginica","Medium"
"123",7.7,2.8,6.7,2,"virginica","Large"
"124",6.3,2.7,4.9,1.8,"virginica","Small"
"125",6.7,3.3,5.7,2.1,"virginica","Medium"
"126",7.2,3.2,6,1.8,"virginica","Large"
"127",6.2,2.8,4.8,1.8,"virginica","Small"
"128",6.1,3,4.9,1.8,"virginica","Medium"
"129",6.4,2.8,5.6,2.1,"virginica","Large"
"130",7.2,3,5.8,1.6,"virginica","Small"
"131",7.4,2.8,6.1,1.9,"virginica","Medium"
"132",7.9,3.8,6.4,2,"virginica","Large"
"133",6.4,2.8,5.6,2.2,"virginica","Small"
"134",6.3,2.8,5.1,1.5,"virginica","Medium"
"135",6.1,2.6,5.6,1.4,"virginica","Large"
"136",7.7,3,6.1,2.3,"virginica","Small"
"137",6.3,3.4,5.6,2.4,"virginica","Medium"
"138",6.4,3.1,5.5,1.8,"virginica","Large"
"139",6,3,4.8,1.8,"virginica","Small"
"140",6.9,3.1,5.4,2.1,"virginica","Medium"
"141",6.7,3.1,5.6,2.4,"virginica","Large"
"142",6.9,3.1,5.1,2.3,"virginica","Small"
"143",5.8,2.7,5.1,1.9,"virginica","Medium"
"144",6.8,3.2,5.9,2.3,"virginica","Large"
"145",6.7,3.3,5.7,2.5,"virginica","Small"
"146",6.7,3,5.2,2.3,"virginica","Medium"
"147",6.3,2.5,5,1.9,"virginica","Large"
"148",6.5,3,5.2,2,"virginica","Small"
"149",6.2,3.4,5.4,2.3,"virginica","Medium"
"150",5.9,3,5.1,1.8,"virginica","Large"
